CompoundName,MixerLine,material_system,phase_route,system_route_branch,recipe_maturity_level,recipe_history_n_batches,similar_recipe_count,similar_recipe_list,similarity_score,cold_start_strategy,recommendation_readiness,safe_bounds_match_level,safe_bound_status,route_stage_status,recommendation_status,confidence_label,ood_flag,model_based_saving_pct,shadow_actual_saving_pct,recommended_DryMixing_Duration,recommended_WetMixing_Duration,recommended_PID_Duration,recommended_BottomMixing_Duration,delta_DryMixing_Duration,delta_WetMixing_Duration,delta_PID_Duration,delta_BottomMixing_Duration
M1-T30087---- 08 001,ML09,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17732---- 06 002;M1-T09170---- 24 001;M1-T09170WS-- 01 009;M1-T09170WS-- 01 010;M1-T09170XM-- 01 001,0.917,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,False,0.0,5.63,0.0,50.0,50.0,73.0,0.0,0.0,0.0,0.0
M1-T30087---- 08 001,ML09,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17732---- 06 002;M1-T09170---- 24 001;M1-T09170WS-- 01 009;M1-T09170WS-- 01 010;M1-T09170XM-- 01 001,0.917,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,MEDIUM,False,0.0,3.13,0.0,55.0,52.0,72.0,0.0,0.0,0.0,0.0
M1-T30087---- 08 001,ML09,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17732---- 06 002;M1-T09170---- 24 001;M1-T09170WS-- 01 009;M1-T09170WS-- 01 010;M1-T09170XM-- 01 001,0.917,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,MEDIUM,False,0.0,2.83,0.0,62.0,49.0,73.0,0.0,0.0,0.0,0.0
M1-A06441XZ-- 01 002,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-A06441R1-- 04 001;M1-A06441R2-- 01 005;M1-R00037W9-- 03 001;M1-A00268R2-- 05 001;M1-A00268R2-- 05 006,0.986,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,-25.0,0.0,-86.0
M1-A06441XZ-- 01 002,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-A06441R1-- 04 001;M1-A06441R2-- 01 005;M1-R00037W9-- 03 001;M1-A00268R2-- 05 001;M1-A00268R2-- 05 006,0.986,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,-23.0,0.0,-85.0
M1-A06441XZ-- 01 002,MB02,CarbonBlack,OilWet,CarbonBlack_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-A06441R1-- 04 001;M1-A06441R2-- 01 005;M1-R00037W9-- 03 001;M1-A00268R2-- 05 001;M1-A00268R2-- 05 006,0.986,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,REJECTED,LOW,True,0.0,0.0,0.0,0.0,0.0,0.0,-44.0,-23.0,0.0,-83.0
M1-T15611W6-- 01 004,ML07,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T15611W2-- 01 001;M1-T19327---- 01 005;M1-T19327---- 01 003;M1-T19327---- 01 004;M1-T18035---- 03 013,0.887,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,True,0.0,-1.42,0.0,62.0,49.0,92.0,0.0,0.0,0.0,0.0
M1-T15611W6-- 01 004,ML07,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T15611W2-- 01 001;M1-T19327---- 01 005;M1-T19327---- 01 003;M1-T19327---- 01 004;M1-T18035---- 03 013,0.887,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,True,0.0,-0.21,0.0,62.0,49.0,89.0,0.0,0.0,0.0,0.0
M1-T15611W6-- 01 004,ML07,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T15611W2-- 01 001;M1-T19327---- 01 005;M1-T19327---- 01 003;M1-T19327---- 01 004;M1-T18035---- 03 013,0.887,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,True,0.0,-2.5,0.0,61.0,50.0,91.0,0.0,0.0,0.0,0.0
M1-T17771---- 04 003,ML07,Silica,OilWet,Silica_OilWet,L0_NEW_RECIPE_COLD_START,0,5,M1-T17771---- 04 004;M1-T19327---- 01 004;M1-T05073XV-- 01 001;M1-T05073---- 06 006;M1-T05073---- 06 007,0.825,INTERSECT_BRANCH_SIMILAR_RECIPE_ENGINEERING_BOUNDS,OBSERVATION_ONLY,SILICA_ROUTE_GLOBAL_FALLBACK,WITHIN_SAFE_BOUNDS,VALID_ROUTE_STAGES,NO_VALID_CANDIDATE,LOW,True,0.0,6.07,0.0,28.0,44.0,134.0,0.0,0.0,0.0,0.0
