CompoundName,material_system,phase_route,MixerLine,bounds_scope,sample_count,Stage2_DryMixing_Duration_min,Stage2_DryMixing_Duration_max,Stage2_DryMixing_Duration_nominal,Stage4_WetMixing_Duration_min,Stage4_WetMixing_Duration_max,Stage4_WetMixing_Duration_nominal,Stage5_PID_Duration_min,Stage5_PID_Duration_max,Stage5_PID_Duration_nominal,Stage6_BottomMixing_Duration_min,Stage6_BottomMixing_Duration_max,Stage6_BottomMixing_Duration_nominal,Target_Temperature_min,Target_Temperature_max,Target_Temperature_nominal
M1-T14885B3-- 01 002,Silica,NoOilDry,ML09,EXACT_RECIPE_MIXER_ROUTE,12,116.55,132.0,120.0,0.0,0.0,0.0,94.55,104.15,98.0,118.0,121.0,119.5,155.0,155.0,155.0
M1-T14885B3-- 04 002,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,161,113.0,134.0,120.0,0.0,0.0,0.0,84.0,130.0,100.0,75.0,122.0,86.0,155.0,155.0,155.0
M1-T14885B3-- 04 003,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,9,114.8,152.8,129.0,0.0,0.0,0.0,76.4,96.2,84.0,131.4,148.8,133.0,155.0,155.0,155.0
M1-T15192-M-- 01 001,Silica,OilWet,ML10,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15192R--- 01 002,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,65,25.2,39.0,33.0,36.2,54.4,45.0,39.4,54.0,48.0,87.2,134.0,94.0,165.0,165.0,165.0
M1-T15192R--- 01 003,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,8,18.7,23.65,22.0,39.4,51.65,46.0,31.7,36.65,35.0,92.35,190.25,93.0,165.0,165.0,165.0
M1-T15192R--- 03 001,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,13,28.2,41.4,29.0,33.2,51.0,43.0,31.6,50.4,35.0,88.4,104.0,95.0,165.0,165.0,165.0
M1-T15192W6-- 03 003,Silica,OilWet,ML10,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15215---- 08 007,Silica,NoOilDry,ML07,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15554---- 01 003,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15554---- 01 005,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15554---- 01 006,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15611W2-- 01 001,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15760---- 06 001,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,51,38.5,46.0,45.0,41.0,53.0,50.0,32.0,42.5,37.0,115.0,175.5,124.0,165.0,165.0,165.0
M1-T15760---- 06 002,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,942,39.05,46.0,45.0,45.0,55.0,49.0,29.0,46.0,35.0,116.0,214.0,194.0,165.0,165.0,165.0
M1-T15760---- 08 001,Silica,OilWet,ML07,EXACT_RECIPE_MIXER_ROUTE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-T15760---- 09 001,Silica,OilWet,MB03,EXACT_RECIPE_MIXER_ROUTE,11,45.0,46.0,46.0,39.0,54.0,44.0,36.5,139.0,43.0,107.5,161.5,130.0,165.0,165.0,165.0
M1-T15760B--- 01 001,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,47,42.0,43.0,43.0,55.3,76.1,61.0,52.0,59.7,54.0,183.2,256.6,218.0,165.0,165.0,165.0
M1-T15760B--- 01 003,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,16,43.5,45.25,45.0,44.75,57.25,48.5,52.25,81.5,59.0,94.5,122.75,97.0,165.0,165.0,165.0
M1-T15760B--- 01 004,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,22,42.05,46.0,45.0,44.0,52.95,48.5,31.05,48.8,36.0,110.05,149.85,122.0,165.0,165.0,165.0
M1-T15760W--- 03 004,Silica,OilWet,ML09,EXACT_RECIPE_MIXER_ROUTE,11,52.0,53.0,52.0,42.5,105.0,98.0,59.5,159.5,66.0,85.0,147.5,121.0,165.0,165.0,165.0
