CompoundName,material_system,phase_route,MixerLine,bounds_scope,sample_count,Stage2_DryMixing_Duration_min,Stage2_DryMixing_Duration_max,Stage2_DryMixing_Duration_nominal,Stage4_WetMixing_Duration_min,Stage4_WetMixing_Duration_max,Stage4_WetMixing_Duration_nominal,Stage5_PID_Duration_min,Stage5_PID_Duration_max,Stage5_PID_Duration_nominal,Stage6_BottomMixing_Duration_min,Stage6_BottomMixing_Duration_max,Stage6_BottomMixing_Duration_nominal,Target_Temperature_min,Target_Temperature_max,Target_Temperature_nominal
M1-A00205---- 09 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,5,41.6,50.0,49.0,3.0,5.0,4.0,38.0,62.0,62.0,117.0,128.0,119.0,150.0,150.0,150.0
M1-A00205---- 09 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A00205W3-- 03 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A00205W3-- 03 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,86,53.0,54.0,53.0,3.0,8.0,5.0,30.0,39.75,34.0,73.0,124.75,104.0,150.0,150.0,150.0
M1-A00205W4-- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,9,51.0,52.0,51.0,5.0,11.2,8.0,47.0,51.6,49.0,78.0,79.0,78.0,150.0,150.0,150.0
M1-A00268R2-- 05 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,17,31.0,31.0,31.0,5.0,20.0,5.0,14.6,30.4,27.0,50.0,53.2,52.0,145.0,145.0,145.0
M1-A00268R2-- 05 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A00268R2-- 05 006,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A00268R2-- 06 007,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,8,29.0,29.0,29.0,20.0,23.65,21.5,19.7,43.0,32.0,92.0,124.3,117.5,150.0,150.0,150.0
M1-A00517B--- 04 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,11,70.0,71.5,71.0,18.5,29.0,24.0,20.0,24.5,22.0,60.5,139.5,64.0,150.0,150.0,150.0
M1-A00517B3-- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,6,54.0,54.0,54.0,36.0,40.0,37.5,20.25,26.0,22.0,119.0,122.0,121.5,155.0,155.0,155.0
M1-A00517B3-- 01 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,19,53.0,54.0,54.0,42.9,57.1,48.0,19.0,30.0,24.0,78.9,186.0,178.0,156.0,156.0,156.0
M1-A03391---- 09 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A03391---- 09 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A03391---- 09 006,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A03405R3-- 03 002,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A03405R3-- 03 003,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A03405R3-- 04 003,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,9,65.0,70.0,68.0,0.0,0.0,0.0,23.0,25.6,24.0,72.0,73.6,73.0,150.0,150.0,150.0
M1-A03405R3-- 04 004,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A03405X--- 01 001,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A06441R1-- 04 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,5,44.0,45.0,45.0,8.6,29.4,26.0,7.0,13.0,8.0,32.0,50.4,32.0,155.0,155.0,155.0
M1-A06441R2-- 01 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A16404---- 01 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,7,38.3,40.0,39.0,37.3,45.2,39.0,26.0,27.7,27.0,83.3,86.0,85.0,160.0,160.0,160.0
M1-A16404B--- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A44268---- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-A44517---- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163---- 08 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,5,36.0,39.0,36.0,22.2,34.0,24.0,12.4,18.4,16.0,49.0,75.2,57.0,150.0,150.0,150.0
M1-B00163---- 08 007,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163---- 08 008,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163-M-- 09 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163-M-- 09 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163R4-- 01 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,47,47.0,53.0,52.0,5.0,19.4,5.0,15.0,31.0,28.0,45.0,131.4,85.0,145.0,145.0,145.0
M1-B00163R4-- 01 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,22,50.0,51.0,50.0,5.0,22.0,15.5,16.0,98.5,19.5,74.05,119.95,94.0,150.0,150.0,150.0
M1-B00163RT-- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,20,33.95,34.05,34.0,4.9,25.1,17.5,55.85,73.1,65.5,91.9,107.05,97.0,145.0,145.0,145.0
M1-B00163RT-- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,58,34.0,34.15,34.0,5.0,21.0,5.0,54.0,114.3,81.5,82.0,183.2,145.0,145.0,145.0,145.0
M1-B00163XM-- 02 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163XV-- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163XV-- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163XV-- 01 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00163XV-- 01 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,11,36.0,36.0,36.0,3.0,20.5,5.0,14.5,37.0,33.0,74.0,95.0,94.0,150.0,150.0,150.0
M1-B00458---- 11 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00458---- 11 006,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,28,45.0,55.2,46.0,16.0,29.65,19.0,15.7,20.0,19.0,49.0,61.0,50.0,145.0,145.0,145.0
M1-B00458---- 12 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1121,45.0,61.0,51.0,5.0,27.0,5.0,18.0,63.0,30.0,22.0,114.0,53.0,145.0,145.0,145.0
M1-B00458---- 12 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1175,45.0,46.0,45.0,5.0,15.0,5.0,22.0,36.0,27.0,22.0,124.0,73.0,145.0,145.0,145.0
M1-B00458---- 12 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,234,45.0,49.0,46.0,5.0,19.0,14.0,23.65,34.35,26.5,42.0,84.0,63.0,145.0,145.0,145.0
M1-B00458---- 12 007,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,19,49.0,51.0,50.0,15.9,21.1,19.0,20.9,23.0,22.0,102.0,105.0,103.0,148.0,148.0,148.0
M1-B00458---- 12 008,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,25,48.0,66.8,51.0,16.0,21.8,18.0,20.2,30.8,23.0,93.2,137.0,103.0,148.0,148.0,148.0
M1-B00458-M-- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,8,48.0,49.0,48.0,8.35,14.95,11.5,24.35,28.95,26.0,76.0,77.0,77.0,145.0,145.0,145.0
M1-B00458B1-- 02 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,7,56.0,57.0,56.0,5.0,19.0,5.0,30.1,58.0,52.0,82.3,84.0,84.0,145.0,145.0,145.0
M1-B00458B1-- 02 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,79,45.0,61.0,60.0,5.0,23.3,5.0,22.0,65.1,49.0,22.0,84.0,64.0,145.0,145.0,145.0
M1-B00458B1-- 02 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,17,33.0,35.4,34.0,10.8,16.2,13.0,28.8,33.4,32.0,22.8,33.0,32.0,145.0,145.0,145.0
M1-B00458RFD- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00458RFD- 06 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00458RIL- 08 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,10,46.0,50.0,50.0,7.25,21.65,18.0,38.45,52.7,41.5,86.45,140.1,108.5,145.0,145.0,145.0
M1-B00458RRL- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,43,40.0,43.0,40.0,11.0,19.9,14.0,27.2,42.0,35.0,79.0,139.0,130.0,150.0,150.0,150.0
M1-B00458RRL- 01 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,38,40.0,41.0,40.0,9.0,16.15,13.0,35.85,44.3,39.0,67.85,147.15,123.0,150.0,150.0,150.0
M1-B00458RRL- 01 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,11,40.0,44.5,41.0,12.0,19.5,15.0,38.0,42.5,40.0,117.5,119.0,119.0,150.0,150.0,150.0
M1-B00458RRL- 04 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,11,42.5,54.0,52.0,11.0,16.0,13.0,40.5,50.5,44.0,131.5,142.0,140.0,150.0,150.0,150.0
M1-B00458X--- 04 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,33,47.0,49.0,48.0,10.0,16.0,12.0,25.0,31.0,28.0,47.0,78.0,47.0,145.0,145.0,145.0
M1-B00458XM-- 04 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00458XM-- 04 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00458XV-- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00460-M-- 01 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,9,86.0,89.6,87.0,5.0,5.0,5.0,41.8,48.6,46.0,145.0,146.0,145.0,152.0,152.0,152.0
M1-B00460B--- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,41,55.0,73.0,66.0,4.0,17.0,5.0,44.0,54.0,45.0,63.0,97.0,94.0,145.0,145.0,145.0
M1-B00460B--- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,21,66.0,72.0,66.0,5.0,5.0,5.0,44.0,50.0,45.0,76.0,115.0,95.0,145.0,145.0,145.0
M1-B00460B--- 01 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,22,65.0,69.95,66.0,5.0,5.0,5.0,44.0,48.8,45.0,56.05,131.0,128.0,145.0,145.0,145.0
M1-B00460B--- 01 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00460B--- 02 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,67,63.3,74.7,72.0,5.0,21.0,5.0,39.3,51.0,46.0,90.0,93.0,91.0,145.0,145.0,145.0
M1-B00460B--- 03 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,15,73.0,117.4,74.0,5.0,5.0,5.0,45.0,50.2,46.0,90.0,121.0,100.0,145.0,145.0,145.0
M1-B00460B--- 03 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,52,71.55,74.0,73.0,5.0,5.0,5.0,35.0,49.8,46.0,66.55,125.0,100.0,145.0,145.0,145.0
M1-B00460B--- 03 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,15,72.0,75.6,73.0,3.7,19.3,5.0,30.0,44.3,41.0,145.0,148.0,146.0,155.0,155.0,155.0
M1-B00460B--- 04 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00460B--- 04 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,63,75.0,97.9,78.0,5.0,5.0,5.0,43.0,59.0,53.0,160.0,176.0,175.0,158.0,158.0,158.0
M1-B00460B--- 04 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00460B--- 04 007,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,7,39.0,40.0,39.0,5.0,20.6,11.0,21.6,41.0,32.0,112.0,147.0,112.0,158.0,158.0,158.0
M1-B00460B--- 04 009,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B00460XJ-- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,9,55.0,58.6,55.0,14.0,16.0,15.0,45.0,48.2,46.0,94.4,98.0,96.0,145.0,145.0,145.0
M1-B00460XP-- 02 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B15563---- 01 003,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,20,35.0,35.0,35.0,14.0,31.1,18.0,18.95,39.05,32.0,72.95,75.0,74.0,145.0,145.0,145.0
M1-B15563---- 04 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B15563---- 04 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,7,39.0,39.0,39.0,7.7,17.7,15.0,18.0,28.0,20.0,89.3,91.0,90.0,145.0,145.0,145.0
M1-B15563---- 04 006,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,6,39.0,39.0,39.0,14.0,15.0,15.0,19.25,21.0,20.5,90.25,92.0,91.5,145.0,145.0,145.0
M1-B15563---- 04 008,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B15563R1-- 01 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-B15563R1-- 01 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,25,39.0,39.0,39.0,19.0,27.8,22.0,18.0,24.8,21.0,105.0,148.0,107.0,150.0,150.0,150.0
M1-C10430---- 05 003,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-C10430---- 05 004,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,5,65.6,76.2,72.0,0.0,0.0,0.0,20.2,27.6,21.0,51.0,52.0,51.0,147.0,147.0,147.0
M1-C10430---- 05 005,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-C10430B4-- 01 004,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-M08161X3-- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-R00037---- 12 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-R00037W9-- 01 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,12,19.0,26.45,23.5,20.55,26.45,24.0,33.0,35.45,34.5,98.0,101.0,99.5,160.0,160.0,160.0
M1-R00037W9-- 01 002,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,23,25.1,37.9,32.0,21.1,49.8,25.0,23.1,71.0,68.0,72.0,170.9,168.0,155.0,155.0,155.0
M1-R00037W9-- 01 004,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-R00037W9-- 03 001,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-R00037XE-- 02 005,CarbonBlack,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-R00218R1-- 01 002,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,34,81.0,113.0,85.0,0.0,0.0,0.0,55.0,67.0,64.0,109.0,169.35,139.0,150.0,150.0,150.0
M1-R00218R1-- 01 004,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-R00218W1-- 01 002,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,5,97.2,100.0,99.0,0.0,0.0,0.0,85.2,87.8,87.0,213.2,225.4,214.0,150.0,150.0,150.0
M1-R00218W1-- 03 002,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,16,70.0,78.0,76.0,0.0,0.0,0.0,61.25,66.75,64.0,132.0,135.0,134.0,150.0,150.0,150.0
M1-R00218W1-- 09 001,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,22,54.0,70.95,68.5,0.0,0.0,0.0,52.0,63.95,55.0,129.0,155.9,130.5,158.0,158.0,158.0
M1-R00218W2-- 10 003,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,13,61.0,108.0,91.0,0.0,0.0,0.0,58.6,88.0,72.0,146.0,173.6,161.0,158.0,158.0,158.0
M1-R00218W2-- 10 004,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,5,67.0,69.0,69.0,0.0,0.0,0.0,31.2,32.0,32.0,112.2,114.0,113.0,158.0,158.0,158.0
M1-R00218W2-- 10 005,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-R00218W5-- 01 001,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,8,66.35,75.0,70.0,0.0,0.0,0.0,31.7,35.65,35.0,71.35,113.0,112.0,158.0,158.0,158.0
M1-R00218W5-- 01 004,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-R00218W5-- 05 006,CarbonBlack,NoOilDry,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-S00211B--- 04 002,Silica,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-S00211B--- 05 003,Silica,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-S08156---- 18 001,Silica,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-S08156---- 19 003,Silica,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-S08156---- 20 001,Silica,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,8,44.0,45.0,44.0,40.0,46.65,44.0,19.35,23.65,22.0,45.35,47.0,46.0,145.0,145.0,145.0
M1-S08156B1-- 01 003,Silica,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,146,29.0,40.0,39.0,33.0,50.75,42.0,17.0,30.0,20.0,18.0,88.0,39.5,145.0,145.0,145.0
M1-S08156B1-- 01 004,Silica,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1-S08156B1-- 01 005,Silica,OilWet,ALL,SAME_RECIPE_ROUTE_ANY_MIXER,23,39.0,45.0,39.0,38.0,49.8,41.0,18.0,25.0,20.0,46.0,48.0,47.0,145.0,145.0,145.0
