CompoundName,material_system,phase_route,system_route_branch,actual_kwh_per_ton,recommended_kwh_per_ton,predicted_baseline_kwh_per_ton,mooney_pred,mooney_lower,mooney_upper,recommendation_status
M1-B00163R4-- 01 003,CarbonBlack,OilWet,CarbonBlack_OilWet,124.16,124.16,124.16,32.11,30.34,33.87,NO_VALID_CANDIDATE
M1-B00458---- 12 003,CarbonBlack,OilWet,CarbonBlack_OilWet,138.6,103.17,138.6,41.51,39.74,43.27,RECOMMENDED
M1-A03391---- 09 001,CarbonBlack,OilWet,CarbonBlack_OilWet,222.9,222.9,211.8,,,,REJECTED
M1-A03391---- 09 001,CarbonBlack,OilWet,CarbonBlack_OilWet,208.75,208.75,211.11,,,,REJECTED
M1-A03391---- 09 001,CarbonBlack,OilWet,CarbonBlack_OilWet,204.76,204.76,211.11,,,,REJECTED
M1-T02128W5-- 04 002,Silica,OilWet,Silica_OilWet,239.01,239.01,239.01,61.74,59.39,64.09,NO_VALID_CANDIDATE
M1-T02128W5-- 04 002,Silica,OilWet,Silica_OilWet,234.48,234.48,234.48,61.0,58.65,63.35,NO_VALID_CANDIDATE
M1-T02128W5-- 04 002,Silica,OilWet,Silica_OilWet,230.87,230.87,230.87,60.98,58.63,63.33,NO_VALID_CANDIDATE
M1-T09170WS-- 01 009,Silica,OilWet,Silica_OilWet,200.23,200.23,200.23,58.97,56.62,61.33,NO_VALID_CANDIDATE
M1-T09170WS-- 01 009,Silica,OilWet,Silica_OilWet,192.67,192.67,192.67,58.78,56.43,61.13,NO_VALID_CANDIDATE
M1-T09170WS-- 01 009,Silica,OilWet,Silica_OilWet,186.85,186.85,186.85,58.75,56.4,61.1,NO_VALID_CANDIDATE
M1-T19012---- 01 005,Silica,OilWet,Silica_OilWet,280.39,231.67,280.39,108.4,106.05,110.76,RECOMMENDED
M1-T19012---- 01 005,Silica,OilWet,Silica_OilWet,297.78,297.78,297.78,109.2,106.85,111.55,NO_VALID_CANDIDATE
M1-T19012---- 01 005,Silica,OilWet,Silica_OilWet,303.44,303.44,303.44,108.9,106.55,111.25,NO_VALID_CANDIDATE
M1-T09170---- 24 001,Silica,OilWet,Silica_OilWet,194.14,194.14,194.14,58.05,55.7,60.4,NO_VALID_CANDIDATE
M1-T09170---- 24 001,Silica,OilWet,Silica_OilWet,191.21,191.21,191.21,57.68,55.33,60.03,NO_VALID_CANDIDATE
M1-T09170---- 24 001,Silica,OilWet,Silica_OilWet,187.07,187.07,187.07,57.8,55.45,60.15,NO_VALID_CANDIDATE
M1-T00011B8-- 02 001,Silica,OilWet,Silica_OilWet,103.94,103.94,103.94,42.0,39.65,44.35,NO_VALID_CANDIDATE
M1-T00011B8-- 02 001,Silica,OilWet,Silica_OilWet,102.25,102.25,102.25,41.89,39.54,44.24,NO_VALID_CANDIDATE
M1-T00011B8-- 02 001,Silica,OilWet,Silica_OilWet,100.4,100.4,100.4,42.2,39.84,44.55,NO_VALID_CANDIDATE
M1-T33025XA-- 01 001,Silica,OilWet,Silica_OilWet,219.6,145.89,219.6,49.16,46.81,51.52,RECOMMENDED
M1-T33025XA-- 01 001,Silica,OilWet,Silica_OilWet,213.35,137.0,213.35,49.18,46.82,51.53,RECOMMENDED
M1-T33025XA-- 01 001,Silica,OilWet,Silica_OilWet,211.68,141.24,211.68,48.39,46.04,50.74,RECOMMENDED
M1-T01139B--- 14 003,Silica,OilWet,Silica_OilWet,136.4,136.4,136.4,63.91,61.55,66.26,NO_VALID_CANDIDATE
M1-T01139B--- 14 003,Silica,OilWet,Silica_OilWet,128.78,128.78,128.78,63.72,61.37,66.07,NO_VALID_CANDIDATE
M1-T01139B--- 14 003,Silica,OilWet,Silica_OilWet,126.84,126.84,126.84,63.89,61.53,66.24,NO_VALID_CANDIDATE
M1-B00163RT-- 01 002,CarbonBlack,OilWet,CarbonBlack_OilWet,124.21,124.21,124.21,57.04,55.28,58.81,NO_VALID_CANDIDATE
M1-T00011-M-- 01 003,Silica,OilWet,Silica_OilWet,192.39,192.39,192.39,41.3,38.95,43.65,NO_VALID_CANDIDATE
M1-T00011-M-- 01 003,Silica,OilWet,Silica_OilWet,192.34,192.34,192.34,42.14,39.79,44.49,NO_VALID_CANDIDATE
M1-T00011-M-- 01 003,Silica,OilWet,Silica_OilWet,202.63,202.63,202.63,44.08,41.72,46.43,NO_VALID_CANDIDATE
M1-T00011B2-- 16 002,Silica,OilWet,Silica_OilWet,102.38,102.38,102.38,42.92,40.57,45.27,REJECTED_NEGATIVE_OR_ZERO_SAVING
M1-T00011B2-- 16 002,Silica,OilWet,Silica_OilWet,98.63,98.63,98.63,43.0,40.65,45.36,REJECTED_NEGATIVE_OR_ZERO_SAVING
M1-T00011B2-- 16 002,Silica,OilWet,Silica_OilWet,107.58,107.58,107.58,43.4,41.05,45.76,REJECTED_NEGATIVE_OR_ZERO_SAVING
M1-T00011-M-- 01 004,Silica,OilWet,Silica_OilWet,184.8,184.8,184.8,41.61,39.26,43.96,NO_VALID_CANDIDATE
M1-T00011-M-- 01 004,Silica,OilWet,Silica_OilWet,193.37,193.37,193.37,39.53,37.18,41.88,NO_VALID_CANDIDATE
M1-A00205W3-- 03 003,CarbonBlack,OilWet,CarbonBlack_OilWet,116.77,116.77,116.77,41.08,39.32,42.85,NO_VALID_CANDIDATE
M1-B00163XM-- 02 003,CarbonBlack,OilWet,CarbonBlack_OilWet,98.84,98.84,98.84,33.38,31.61,35.14,NO_VALID_CANDIDATE
M1-B00163XM-- 02 003,CarbonBlack,OilWet,CarbonBlack_OilWet,97.4,97.4,97.4,32.9,31.13,34.66,NO_VALID_CANDIDATE
M1-T10035B6-- 03 001,Silica,OilWet,Silica_OilWet,300.0,300.0,300.0,43.23,40.88,45.58,NO_VALID_CANDIDATE
M1-S00211---- 10 001,Silica,OilWet,Silica_OilWet,119.22,119.22,119.22,27.14,24.79,29.49,NO_VALID_CANDIDATE
M1-S00211---- 10 001,Silica,OilWet,Silica_OilWet,120.61,120.61,120.61,27.35,25.0,29.7,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,115.08,115.08,115.08,32.29,30.53,34.06,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,114.79,114.79,114.79,32.53,30.77,34.3,NO_VALID_CANDIDATE
M1-B00163R4-- 01 004,CarbonBlack,OilWet,CarbonBlack_OilWet,117.96,117.96,117.96,32.18,30.42,33.95,NO_VALID_CANDIDATE
M1-S08156B1-- 01 004,Silica,OilWet,Silica_OilWet,92.27,92.27,92.27,26.49,24.14,28.85,NO_VALID_CANDIDATE
M1-B15563R1-- 03 002,CarbonBlack,OilWet,CarbonBlack_OilWet,109.94,109.94,119.33,,,,REJECTED
M1-B15563R1-- 03 002,CarbonBlack,OilWet,CarbonBlack_OilWet,110.12,110.12,122.3,,,,REJECTED
M1-B15563R1-- 03 002,CarbonBlack,OilWet,CarbonBlack_OilWet,104.94,104.94,122.03,,,,REJECTED
M1-S08156B1-- 01 004,Silica,OilWet,Silica_OilWet,102.43,102.43,102.43,26.68,24.32,29.03,NO_VALID_CANDIDATE
M1-S08156B1-- 01 004,Silica,OilWet,Silica_OilWet,101.48,101.48,101.48,26.44,24.09,28.8,NO_VALID_CANDIDATE
M1-T00011B2-- 23 003,Silica,OilWet,Silica_OilWet,201.38,201.38,201.38,40.65,38.3,43.0,NO_VALID_CANDIDATE
M1-T01139-A-- 02 001,Silica,OilWet,Silica_OilWet,155.49,129.57,155.49,56.46,54.1,58.81,RECOMMENDED
M1-T01139-A-- 02 001,Silica,OilWet,Silica_OilWet,146.22,122.94,146.22,56.37,54.02,58.72,RECOMMENDED
M1-T01139-A-- 02 001,Silica,OilWet,Silica_OilWet,142.11,122.85,142.11,56.08,53.73,58.43,RECOMMENDED
M1-S08156---- 20 002,Silica,OilWet,Silica_OilWet,105.86,105.86,105.86,26.6,24.25,28.95,NO_VALID_CANDIDATE
M1-S08156---- 20 002,Silica,OilWet,Silica_OilWet,103.99,103.99,103.99,26.48,24.13,28.83,NO_VALID_CANDIDATE
M1-S08156---- 20 002,Silica,OilWet,Silica_OilWet,102.8,102.8,102.8,26.65,24.3,29.0,REJECTED_NEGATIVE_OR_ZERO_SAVING
M1-T09170---- 23 004,Silica,OilWet,Silica_OilWet,174.12,174.12,174.12,55.24,52.89,57.6,NO_VALID_CANDIDATE
M1-T09170---- 23 004,Silica,OilWet,Silica_OilWet,195.05,195.05,195.05,54.43,52.08,56.78,NO_VALID_CANDIDATE
M1-T09170---- 23 004,Silica,OilWet,Silica_OilWet,188.66,188.66,188.66,54.45,52.1,56.8,NO_VALID_CANDIDATE
M1-A06441R1-- 04 001,CarbonBlack,OilWet,CarbonBlack_OilWet,119.11,119.11,119.11,57.12,55.36,58.89,NO_VALID_CANDIDATE
M1-M08161Y--- 02 011,CarbonBlack,OilWet,CarbonBlack_OilWet,143.52,143.52,182.74,,,,REJECTED
M1-M08161Y--- 02 011,CarbonBlack,OilWet,CarbonBlack_OilWet,143.83,143.83,182.74,,,,REJECTED
M1-M08161Y--- 02 011,CarbonBlack,OilWet,CarbonBlack_OilWet,142.52,142.52,182.74,,,,REJECTED
M1-T00011B2-- 22 004,Silica,OilWet,Silica_OilWet,104.98,104.98,104.98,40.0,37.65,42.35,REJECTED_NEGATIVE_OR_ZERO_SAVING
M1-T00011B2-- 22 004,Silica,OilWet,Silica_OilWet,114.45,114.45,114.45,39.81,37.46,42.17,NO_VALID_CANDIDATE
M1-T00011B2-- 22 004,Silica,OilWet,Silica_OilWet,98.91,98.91,98.91,39.9,37.55,42.25,NO_VALID_CANDIDATE
M1-B00460B--- 04 009,CarbonBlack,OilWet,CarbonBlack_OilWet,201.3,201.3,201.3,52.83,51.07,54.6,NO_VALID_CANDIDATE
M1-B00460B--- 04 009,CarbonBlack,OilWet,CarbonBlack_OilWet,200.31,200.31,200.31,52.07,50.31,53.83,NO_VALID_CANDIDATE
M1-T19327---- 01 003,Silica,OilWet,Silica_OilWet,190.53,190.53,190.53,29.97,27.62,32.33,NO_VALID_CANDIDATE
