CompoundName,MixerLine,system_route_branch,n_recommended_batches,avg_shadow_actual_saving_pct,avg_model_based_saving_pct,avg_historical_best_actual_saving_pct,avg_model_adjusted_saving_pct,uncertainty_factor_1,uncertainty_factor_2,uncertainty_factor_3,min_recommended_mooney_low,max_recommended_mooney_high,min_mooney_spec_low,max_mooney_spec_high,engineer_decision,trial_priority,trial_status,trial_batch_id,trial_actual_kwh,trial_actual_mooney,trial_quality_ok,trial_comment,final_decision,recommended_DryMixing_Duration_median,recommended_DryMixing_Duration_p25,recommended_DryMixing_Duration_p75,recommended_WetMixing_Duration_median,recommended_WetMixing_Duration_p25,recommended_WetMixing_Duration_p75,recommended_PID_Duration_median,recommended_PID_Duration_p25,recommended_PID_Duration_p75,recommended_BottomMixing_Duration_median,recommended_BottomMixing_Duration_p25,recommended_BottomMixing_Duration_p75,delta_DryMixing_Duration_median,delta_DryMixing_Duration_p25,delta_DryMixing_Duration_p75,delta_WetMixing_Duration_median,delta_WetMixing_Duration_p25,delta_WetMixing_Duration_p75,delta_PID_Duration_median,delta_PID_Duration_p25,delta_PID_Duration_p75,delta_BottomMixing_Duration_median,delta_BottomMixing_Duration_p25,delta_BottomMixing_Duration_p75
M1-B00458---- 12 003,MB02,CarbonBlack_OilWet,3,14.53,10.46,16.0,14.53,material_initial_temperature_difference,ambient_humidity_difference,ambient_temperature_difference,38.91,43.27,36.443,45.3,,P1,NOT_STARTED,,,,,,PENDING_ENGINEERING_REVIEW,60.0,60.0,60.0,5.0,5.0,5.0,0.0,0.0,0.0,33.0,33.0,33.5,9.0,4.5,9.0,-21.0,-26.0,-10.5,0.0,0.0,0.0,-20.0,-50.0,-20.0
M1-B00458---- 12 004,MB02,CarbonBlack_OilWet,7,11.5,8.51,11.46,11.5,supplier_COA_difference,historical_batch_age_or_recency,material_initial_temperature_difference,39.44,44.18,38.457,46.987,,P1,NOT_STARTED,,,,,,PENDING_ENGINEERING_REVIEW,45.0,45.0,45.0,10.0,10.0,10.0,0.0,0.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,-1.5,3.0,0.0,0.0,0.0,-21.0,-22.0,-21.0
